JobID,FRICTION,BHF,THICKNESS,INITIAL_STRESS,SATURATION,GROWTH_RATE,POWER,MAX_STRESS,AVE_STRESS,VAR_STRESS,AVE_DIST
job69, 0.2, 0.89, 1.5, 100, 130, 7.98, 0.84, 128.174575806, 27.2086714876, 611.878663029, 7.48525089688
job70, 0.2, 1.0, 1.5, 100, 130, 7.98, 0.84, 126.204948425, 25.7238434005, 579.409901619, 7.37401156955
job71, 0.23333333333333334, 0.01, 1.5, 100, 130, 7.98, 0.84, 129.423950195, 30.2155298227, 584.510365091, 8.50388675266
job72, 0.23333333333333334, 0.12, 1.5, 100, 130, 7.98, 0.84, 127.752677917, 28.2172056422, 553.971899303, 8.24954032898
job73, 0.23333333333333334, 0.23, 1.5, 100, 130, 7.98, 0.84, 127.845565796, 27.8645642233, 520.94410957, 8.07266023424
job74, 0.23333333333333334, 0.34, 1.5, 100, 130, 7.98, 0.84, 128.348480225, 28.2171959859, 541.840878758, 7.93061849806
job75, 0.23333333333333334, 0.45, 1.5, 100, 130, 7.98, 0.84, 128.284835815, 28.158700071, 558.416918372, 7.79382324219
job76, 0.23333333333333334, 0.56, 1.5, 100, 130, 7.98, 0.84, 128.107055664, 27.951259079, 528.922839584, 7.66369522942
job77, 0.23333333333333334, 0.67, 1.5, 100, 130, 7.98, 0.84, 126.80921936, 27.9183850986, 551.676697199, 7.53602239821
job78, 0.23333333333333334, 0.78, 1.5, 100, 130, 7.98, 0.84, 124.978240967, 26.56344716, 530.899967046, 7.40031602648
job79, 0.23333333333333334, 0.89, 1.5, 100, 130, 7.98, 0.84, 123.440246582, 25.1751448664, 458.403929819, 7.2473165724
job80, 0.23333333333333334, 1.0, 1.5, 100, 130, 7.98, 0.84, 124.602119446, 23.4844654673, 397.388262661, 7.03895992703
job81, 0.26666666666666666, 0.01, 1.5, 100, 130, 7.98, 0.84, 129.436477661, 29.5363762221, 553.224596137, 8.46160825094
job82, 0.26666666666666666, 0.12, 1.5, 100, 130, 7.98, 0.84, 127.813972473, 28.7874945414, 547.693268515, 8.19250700209
job83, 0.26666666666666666, 0.23, 1.5, 100, 130, 7.98, 0.84, 127.927383423, 27.5990829262, 489.30349937, 7.99662759569
